assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,matchDuration,matchType,maxPlace,numGroups,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints,winPlacePerc
1,1,167.5,1,0,5,8,0,3,2,156.3,1950,squad,28,27,1467,1,0,0,0,0,0,426.7,3,0,0.3333
0,0,0,0,0,0,54,1368,0,0,0,1374,squad-fpp,28,26,-1,1,0,0,0,0,0,157.7,4,1495,0.6296
0,0,93.6,0,0,0,39,0,1,1,6.293,1346,duo-fpp,48,48,1500,0,0,0,0,0,0,70.15,1,0,0.1489
0,1,363,0,3,1,14,0,3,1,9.144,1853,solo-fpp,99,97,1541,0,0,0,0,0,0,293.8,3,0,0.398
0,0,147,1,0,0,34,0,1,1,13.45,1414,squad-fpp,29,28,1493,0,0,0,0,0,0,251,4,0,0.3214
0,0,0,0,0,0,86,0,0,0,0,1437,duo,50,49,1500,0,0,0,0,0,0,51.07,1,0,0.102
0,0,241.2,1,1,0,10,0,3,2,10.32,1877,duo,47,47,1596,0,4039,0,0,0,0,1021,7,0,0.6957
0,1,67.98,0,0,0,55,0,0,0,0,1851,duo-fpp,46,44,1514,0,0,0,0,0,0,1486,6,0,0.5778
2,5,384.2,2,1,5,14,0,2,2,40.58,1862,squad-fpp,27,27,1469,1,2710,0,0,0,0,2227,8,0,0.8462
0,0,59.33,1,0,0,41,1147,1,1,15.33,1368,duo,50,50,-1,0,0,0,0,0,0,312,2,1524,0.3265
0,4,141.9,0,0,2,50,1288,0,0,0,1272,squad-fpp,27,26,-1,0,0,0,0,0,0,2501,7,1510,0.8077
0,0,100,0,0,0,37,1143,1,1,0.8529,1384,solo-fpp,95,92,-1,0,0,0,0,0,0,113.5,2,1495,0.2979
0,0,357.5,2,0,1,40,0,1,1,9.914,1370,duo-fpp,45,42,1499,0,0,0,0,0,0,243.9,4,0,0.2955
0,1,390.5,3,1,1,10,0,3,2,78.41,1884,squad,29,28,1561,0,0,0,0,0,0,269.3,3,0,0.2857
0,0,0,0,0,0,50,0,0,0,0,1378,squad-fpp,27,26,1503,0,0,0,0,0,0,1263,5,0,0.4615
0,5,459,1,0,0,3,1493,6,4,215.1,1769,squad-fpp,29,28,-1,0,0,0,0,0,1,3620,3,1538,1
0,0,92.43,0,0,0,83,0,0,0,0,1310,solo,95,95,1495,0,0,0,0,0,0,47.25,1,0,0.1277
2,5,408.5,4,0,1,15,0,2,1,75.69,1234,squad-fpp,25,25,1477,0,0,0,0,0,0,2174,4,0,0.75
0,0,32.64,0,0,0,60,0,0,0,0,1895,duo-fpp,45,41,1490,0,0,0,0,0,0,337.3,6,0,0.2955
0,1,123.1,1,0,1,50,1231,0,0,0,1353,duo-fpp,47,46,-1,0,0,0,0,0,0,1464,5,1578,0.6957
0,0,171.7,1,1,0,43,1334,1,1,9.162,1297,squad-fpp,27,27,-1,0,0,0,0,0,0,39.54,1,1562,0.1154
0,0,60.02,0,0,0,55,0,0,0,0,1416,solo,96,92,1500,0,0,0,0,0,0,1339,5,0,0.6
0,0,0,0,0,0,95,1000,0,0,0,1372,duo,50,48,-1,0,0,0,0,0,0,55.15,1,1500,0.0408
0,0,93.31,0,0,0,90,1126,0,0,0,1277,duo-fpp,50,49,-1,0,0,0,0,0,0,16.3,1,1473,0.0612
1,5,253.4,0,0,16,35,0,0,0,0,1941,duo-fpp,48,47,1521,0,6503,0,25.43,0,0,7355,4,0,0.9574
0,1,100,1,0,1,44,0,0,0,0,1973,duo,49,47,1500,1,2333,0,0,0,0,2514,5,0,0.875
0,0,0,0,0,0,77,1185,0,0,0,1306,duo-fpp,48,47,-1,0,0,0,0,0,0,99.25,1,1502,0.2128
0,0,55.34,0,1,0,36,0,1,1,6.311,1797,squad-fpp,28,28,1479,0,671.2,0,0,0,0,750.1,3,0,0.2593
0,0,102.4,0,0,0,55,0,0,0,0,1390,solo-fpp,92,91,1573,0,0,0,0,0,0,118.4,2,0,0.5055
0,0,259.1,1,0,0,24,0,2,1,26.61,1842,duo-fpp,47,45,1443,0,0,0,0,0,0,68.26,4,0,0.0652
1,0,49.62,1,0,0,80,1126,0,0,0,1410,squad-fpp,28,27,-1,0,0,0,0,0,0,90.33,2,1536,0.1481
0,0,0,0,0,0,74,1107,0,0,0,1404,squad-fpp,34,34,-1,0,0,0,0,0,0,45.9,0,1378,0.2121
0,3,216.5,2,1,3,21,0,1,1,54.87,1340,duo-fpp,46,41,1536,0,0,0,0,0,0,1780,8,0,0.8889
0,0,0,0,0,0,56,0,0,0,0,1777,duo-fpp,47,46,1500,0,0,0,0,0,0,149.1,1,0,0.587
0,1,134.3,1,0,1,35,1035,1,1,16.96,1857,duo-fpp,50,49,-1,0,0,0,0,0,0,502.8,6,1504,0.4082
0,0,88.2,0,0,0,66,1000,0,0,0,1417,squad-fpp,26,26,-1,0,0,0,0,0,0,465.7,3,1500,0.36
0,0,57.12,0,0,0,68,0,0,0,0,1991,squad-fpp,29,28,1519,0,430.3,0,0,0,0,1167,5,0,0.3571
1,0,157.8,1,0,0,34,1348,1,1,188.2,1928,duo,48,47,-1,0,0,0,0,0,0,1203,4,1543,0.4043
1,1,241.3,0,0,6,56,1346,0,0,0,1360,duo-fpp,49,48,-1,0,0,0,0,0,0,1583,4,1527,0.6458
0,8,433.3,2,1,5,4,0,4,1,144.3,1776,squad-fpp,30,27,1475,0,1879,0,46.73,0,0,6327,5,0,0.8276
1,1,0,0,0,6,50,0,0,0,0,1817,duo-fpp,48,48,1500,0,912.4,0,0,0,0,1359,4,0,0.7021
0,0,0,1,0,0,59,0,0,0,0,1373,squad-fpp,28,27,1500,0,1098,0,0,0,0,481,2,0,0.6296
0,0,97.6,0,0,0,95,0,0,0,0,1428,solo,97,95,1491,0,0,0,0,0,0,27,1,0,0.0312
0,1,149,2,0,0,39,1290,1,1,25.92,1797,squad-fpp,29,27,-1,0,0,0,0,0,0,815.3,5,1471,0.3214
0,0,32.01,0,0,0,68,0,0,0,0,1816,squad-fpp,29,26,1437,0,0,0,0,0,0,388.5,3,0,0.3214
0,1,105.9,0,0,1,37,0,1,1,13.41,1889,duo-fpp,48,47,1570,1,85.7,0,0,0,0,2253,4,0,0.617
0,2,166.9,1,0,0,67,1224,0,0,0,1366,duo-fpp,48,46,-1,0,0,0,0,0,0,164.6,3,1544,0.4255
0,0,98.81,1,1,0,19,1008,2,1,47.47,1706,squad-fpp,29,27,-1,0,162.4,0,0,0,0,241.1,4,1474,0.2143
0,0,0,0,0,0,79,0,0,0,0,1459,squad,27,26,1460,0,0,0,0,0,0,27.12,0,0,0.1538
0,0,139.9,0,0,0,79,0,0,0,0,1970,squad,26,25,1487,0,0,0,0,1,0,261.4,5,0,0.12
2,1,49.9,0,0,1,47,1393,0,0,0,1382,squad-fpp,28,28,-1,0,0,0,0,0,0,528.3,3,1615,0.7778
3,1,133.6,0,0,1,82,1389,0,0,0,1435,squad,27,24,-1,0,0,0,0,0,0,261.2,3,1506,0.1538
0,5,100,1,0,7,25,1237,1,1,23.39,1337,squad,27,26,-1,0,0,0,0,0,0,2996,5,1503,0.8077
0,0,100,1,1,0,38,0,1,1,2.045,1369,squad-fpp,28,28,1375,0,0,0,0,0,0,21.17,1,0,0.0741
0,0,0,0,0,0,75,0,0,0,0,1364,duo,47,45,1399,0,0,0,0,0,0,0.28,0,0,0.2174
0,0,0,0,0,0,66,0,0,0,0,1391,solo-fpp,96,93,1500,0,0,0,0,0,0,87.79,3,0,0.4
0,1,167.6,0,0,0,61,1038,0,0,0,1299,duo,48,44,-1,0,0,0,0,0,0,342.9,4,1486,0.4043
0,0,67.02,1,0,0,22,0,1,1,25.86,1403,squad,28,25,1475,0,0,0,0,0,0,2603,3,0,0.8148
3,8,598.1,5,1,3,1,1846,6,2,76.46,1291,squad-fpp,26,25,-1,2,0,0,0,0,0,3564,2,1644,0.96
1,3,324.9,3,1,3,6,1363,4,2,14.11,1349,squad-fpp,27,27,-1,0,0,0,0,0,0,3015,6,1541,0.7692
0,0,0,0,0,0,56,0,0,0,0,1857,squad,29,28,1512,0,0,0,0,0,0,2767,7,0,0.5357
0,2,219.6,0,0,0,43,1186,0,0,0,1762,duo-fpp,47,47,-1,0,4401,0,0,0,0,2269,5,1559,0.913
0,2,190,1,1,1,16,0,2,1,55.54,1387,squad,27,27,1480,0,0,0,0,0,0,2260,5,0,0.6538
0,3,200,1,2,1,16,0,2,2,36.54,1825,duo-fpp,49,48,1506,0,8142,0,0,0,0,1782,3,0,0.8125
0,5,0,0,0,35,41,0,0,0,0,1800,solo-fpp,96,92,1582,0,0,0,0,0,0,2654,2,0,0.8737
0,0,0,0,0,0,74,0,0,0,0,1352,squad-fpp,29,28,1480,0,0,0,0,0,0,255.2,2,0,0.1429
1,4,242.3,1,0,6,19,1346,2,1,12.34,1329,squad-fpp,27,25,-1,0,0,0,0,0,0,1018,4,1451,0.9615
0,0,44.96,0,0,0,88,0,0,0,0,1968,squad,26,23,1483,0,0,0,0,0,0,51.05,1,0,0
1,1,140.8,1,0,1,38,0,1,1,5.761,1383,squad-fpp,29,28,1490,0,0,0,0,0,0,51.13,2,0,0.3214
0,0,42.9,0,0,1,82,0,0,0,0,1858,squad-fpp,30,29,1480,0,0,0,0,0,0,257.2,4,0,0.1379
1,2,223.6,0,1,0,25,1244,1,1,203.5,1412,squad-fpp,37,37,-1,1,0,0,0,0,0,2866,6,1514,0.9167
0,2,0,0,0,0,59,1209,0,0,0,1427,squad-fpp,28,25,-1,0,0,0,0,0,0,1887,4,1431,0.5556
0,1,27.42,1,0,2,20,0,1,1,101.4,1399,duo,47,46,1571,1,804.6,0,0,0,0,1512,3,0,1
0,0,0,0,0,0,80,0,0,0,0,1457,solo,99,98,1470,0,0,0,0,0,0,50.24,2,0,0.2041
0,0,100,1,0,0,32,0,1,1,7.616,1369,squad,28,25,1543,0,0,0,0,0,0,70.32,2,0,0.1852
0,0,206.6,0,0,0,17,0,2,1,74.14,1975,squad-fpp,28,25,1271,0,0,0,0,0,0,1191,8,0,0.6667
